data_venda,quantidade,desconto,nome_produto,categoria,preco_unitario,valor_total
2025-10-01,3,50.0,Notebook Dell,Informática,3500.0,10450.0
2025-10-02,5,0.0,Mouse Logitech,Acessórios,120.0,600.0
2025-10-03,2,0.0,"Monitor LG 24""",Informática,950.0,1900.0
2025-10-04,1,20.0,Teclado Mecânico,Acessórios,420.0,400.0
2025-10-05,4,15.0,Headset Gamer,Acessórios,480.0,1905.0
2025-10-06,2,0.0,Impressora HP,Periféricos,800.0,1600.0
2025-10-07,1,200.0,Smartphone Samsung,Telefonia,2900.0,2700.0
2025-10-08,10,0.0,Cabo HDMI 2m,Acessórios,40.0,400.0
2025-10-09,3,30.0,Webcam Logitech,Acessórios,310.0,900.0
2025-10-10,2,10.0,Roteador TP-Link,Redes,250.0,490.0
2025-10-11,5,0.0,SSD Kingston 480GB,Armazenamento,380.0,1900.0
2025-10-12,3,25.0,HD Externo 1TB,Armazenamento,420.0,1235.0
2025-10-13,1,0.0,Tablet Lenovo,Informática,1300.0,1300.0
2025-10-15,6,0.0,Caixa de Som JBL,Não Informado,550.0,3300.0
2025-10-16,1,0.0,Notebook Dell,Informática,3500.0,3500.0
2025-10-17,4,30.0,"Monitor LG 24""",Informática,950.0,3770.0
2025-10-18,2,0.0,Headset Gamer,Acessórios,480.0,960.0
2025-10-19,2,150.0,Smartphone Samsung,Telefonia,2900.0,5650.0
2025-10-21,1,0.0,Webcam Logitech,Acessórios,310.0,310.0
2025-10-22,3,0.0,Roteador TP-Link,Redes,250.0,750.0
2025-10-24,2,0.0,HD Externo 1TB,Armazenamento,420.0,840.0
2025-10-25,1,10.0,Tablet Lenovo,Informática,1300.0,1290.0
2025-10-27,5,0.0,Caixa de Som JBL,Não Informado,550.0,2750.0
2025-10-29,1,0.0,Impressora HP,Periféricos,800.0,800.0
2025-10-30,4,10.0,Mouse Logitech,Acessórios,120.0,470.0